fid;Naam;Webadres;Tel;KvKnr;Plaats;SBICode;SBINaam;Kans;Keten;Typering;AantalMedewerkers;TJ_Warmte;TJ_CondWarmte;NM3Gas_CondWarmte;Red_tonCO2_CondWarmte;TJ_MTWarmte;NM3Gas_MTWarmte;kWh_MTWarmte;Red_tonCO2_MTWarmte
51;Poeliersbedrijf Brinkhorst BV;www.brinkhorst-ede.nl;0318-573600;9084703;DE KLOMP;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
52;Hesseling Vlees BV;www.hesseling.nl;0299-621421;37085186;PURMEREND;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
53;Gebr. Snijders Vleeswarenfabriek BV;www.snijdersvleeswaren.nl;046-4853037;14043062;BORN;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
54;Ad van Geloven BV;www.advangeloven.com;013-4640680;18012279;TILBURG;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
55;Maasland Vleeswaren BV;www.maasland-vleeswaren.nl;077-3730303;39059813;BELFELD;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
56;Vleeswarenfabriek Hapert BV;www.sleegers.biz;0497-381714;17059682;HAPERT;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
57;Heijs Food Products BV;www.heijsgroep.nl;0528-280840;1054618;HOOGEVEEN;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
58;Vleesgroothandel Tabara BV;www.tabara.nl;010-4294600;24276131;ROTTERDAM;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
59;Vonk Vleeswaren BV;www.vonkvleeswaren.nl;0182-342335;29030615;STOLWIJK;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
60;Diviande BV;www.diviande.nl;0571-272212;8036852;TWELLO;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
61;Slagerij Wildeboer BV;;0528-341327;4011263;HOLLANDSCHEVELD;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
62;J.F. Luiten Vleeswaren BV;www.luitenvleeswaren.nl;079-3437611;27232373;'S-GRAVENHAGE;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
63;Borghans en Zonen BV;www.borghans.nl;045-5242100;14033308;NUTH;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
64;Van Rooi Meat BV;www.vanrooigroup.com;0492-779900;17055972;HELMOND;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;1500;98.655847;196.265204;6890000;13001.43;249.309854;8752000;16372000;7903.352
65;Ce-Es Vleeswaren BV;www.ce-es.nl;0416-341526;18117818;WAALWIJK;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
66;René Elvers Vleeswaren Belvedere BV;www.reneelversbelvedere.nl;024-3770108;9104586;NIJMEGEN;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
67;Hogeslag-Olst Holding BV;www.hogeslagolst.nl;0570-563971;38020448;OLST;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
68;Henningsen Nederland BV;www.henningsen.nl;0416-650333;18120459;WAALWIJK;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
69;Koetsier Vleeswaren BV;www.koetsiervleeswaren.nl;0522-481254;4059966;RUINERWOLD;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
70;Zandvliet Vleeswaren II BV;www.zandvliet.com;015-2562200;27224050;DELFT;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
71;Esro Vlees BV;www.esro.com;040-2907080;17065279;NUENEN;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
72;J.F. Luiten Vleeswaren BV;www.luitenvleeswaren.nl;079-3437611;27232373;ZOETERMEER;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
73;BV Lupack Vleeswaren- en Conservenfabriek;www.zwanenberg.nl;0546-547000;38012341;RAALTE;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
74;Th.S. van der Laan International BV;www.zwanenberg.nl;0546-547000;6056766;ALMELO;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;625;41.106603;81.777168;2871000;5417.577;103.879106;3647000;6822000;3293.517
75;Sonac Almere BV;www.vetsmelterijbosland.nl;036-5322424;39038227;ALMERE;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
76;Bobeldijk Food Group BV;www.bobeldijkmeatcompany.nl;0570-860100;38021702;DEVENTER;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
77;Compaxo Fijne Vleeswaren BV;www.compaxo.nl;0182-547474;29018006;GOUDA;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
78;Friesland Beef BV;www.frieslandbeef.nl;0511-424356;1094667;DOKKUM;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
79;Plukon Processing Ommel BV;www.plukon.nl;0493-681232;17069164;OMMEL;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;875;57.549244;114.488036;4019000;7583.853;145.430748;5106000;9550000;4611.722
80;J.G. van der Mey Vleesbewerking BV;www.vdmey.nl;0252-241800;28047447;SASSENHEIM;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
81;Brink Pluimveeprodukten BV;www.brinkpp.nl;030-6775495;8021871;VLEUTEN;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
82;Slagerij Van der Meer CV;www.vandermeer.keurslager.nl;071-3312312;28074808;ROELOFARENDSVEEN;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
83;Unilever Nederland Foods Factories BV;www.unilever.nl;0412-620111;32043472;OSS;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
84;De With Vleeswaren Waardenburg BV;;0418-652445;30236914;WAARDENBURG;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
85;Enkco BV;www.enkco.com;0548-373737;38013287;HOLTEN;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
86;Triple Meat & Specials BV;www.triplemeat.nl;0223-641112;57563888;WARMENHUIZEN;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
87;Gepo Vleeswaren BV;www.gepo.nl;0252-629629;34321591;NIEUW-VENNEP;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
88;Elburg Foods BV;www.elburgfoods.eu;0525-690009;32148291;ELBURG;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
89;B.B.S. Food BV;www.bbsfood.nl;0342-412928;30187356;BARNEVELD;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
90;Keulen Vleeswaren BV;www.keurslagerij-keulen.nl;045-4059800;50103555;NUTH;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
91;Uitsnijderij Dao BV;;06-51336632;52714616;PURMEREND;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
92;Klas Doner Production BV;;013-5082566;54645050;AMSTERDAM;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
93;Vleeswarengroothandel J. de Waal BV;www.dewaal-vers.nl;078-6817900;58624120;HENDRIK-IDO-AMBACHT;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
94;Van Loon Best BV;;0499-378831;17093691;EINDHOVEN;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
95;EL Natur GmbH;;073-0301030;60247932;VENLO;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
96;Vers Vlees voor Hond en Kat Lotgering BV;www.lotgering.eu;075-6700166;61046094;ZAANDAM;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
97;Dutch Grill Specialties BV;;013-3030900;11030615;TILBURG;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
98;Macellum BV;www.macellum.info;0314-820375;63534266;'S-HEERENBERG;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
99;Gebroeders Steneker BV;www.steneker.nl;0512-511191;63704846;DRACHTEN;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792
100;Dutch Grill Specialties BV;;013-8505920;11030615;BOXTEL;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
101;Freek Schilder Vissnacks BV;www.viskoekje.nl;0299-368966;36009298;VOLENDAM;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;15;0.881057;1.939956;68000;128.316;2.464268;87000;162000;78.957
102;Pluimveeslachterij gebr. Heijs BV;www.heijsgroep.nl;0594-555075;2036570;LEEK;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
103;Brinky Food Processing BV;www.brinky.com;0341-552233;8072052;ERMELO;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
104;Tomassen Duck-To BV;www.tomassen.com;0341-553675;8079037;ERMELO;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
105;BV Esbro;www.esbro.nl;0314-332741;9029096;WEHL;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
106;Plukon Dedemsvaart BV;www.plukon.nl;0523-625100;24128627;DEDEMSVAART;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
107;Storteboom Kornhorn BV;www.storteboom.nl;0594-677577;2080669;KORNHORN;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
108;Poeliersbedrijf Ep de Graaf BV;www.foodtoday.nl;0341-351923;8009067;PUTTEN;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063
109;Polskamp BV;www.polskamp.nl;0318-456490;9060975;HARSKAMP;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712
110;N. Vriesekoop BV;www.vriesekoop.com;079-3614033;27165136;ZOETERMEER;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016
111;Gecombineerde Pluimvee Slachterijen (GPS) BV;www.gps-nunspeet.nl;0341-256004;8021451;NUNSPEET;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934
